Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
gold-kundan-necklace,Gold Kundan Necklace,Premium handcrafted gold kundan necklace,Nerve Jewellers,Necklaces,hero;gold;kundan,true,Title,Default Title,SKU-001,50,shopify,30,deny,manual,4500,5500,true,true,active
polki-bridal-set,Polki Bridal Jewellery Set,Complete bridal set with necklace and earrings,Nerve Jewellers,Sets,hero;polki;bridal,true,Title,Default Title,SKU-002,120,shopify,15,deny,manual,8500,10000,true,true,active
silver-jhumka-earrings,Silver Jhumka Earrings,Traditional silver jhumka earrings,Nerve Jewellers,Earrings,quiet-hero;silver;jhumka,true,Title,Default Title,SKU-003,30,shopify,80,deny,manual,850,1100,true,true,active
oxidised-chandbali,Oxidised Chandbali Earrings,Handcrafted oxidised silver chandbali,Nerve Jewellers,Earrings,quiet-hero;oxidised;chandbali,true,Title,Default Title,SKU-004,25,shopify,100,deny,manual,650,800,true,true,active
meenakari-bangles-set,Meenakari Bangles Set,Set of 6 handpainted meenakari bangles,Nerve Jewellers,Bangles,quiet-hero;meenakari;bangles,true,Title,Default Title,SKU-005,80,shopify,60,deny,manual,1200,1500,true,true,active
pearl-choker-necklace,Pearl Choker Necklace,Elegant freshwater pearl choker,Nerve Jewellers,Necklaces,quiet-hero;pearl;choker,true,Title,Default Title,SKU-006,40,shopify,45,deny,manual,1800,2200,true,true,active
antique-gold-earrings,Antique Gold Earrings,Vintage-style antique gold earrings,Nerve Jewellers,Earrings,standard;antique;gold,true,Title,Default Title,SKU-007,20,shopify,55,deny,manual,1500,1900,true,true,active
diamond-cut-silver-ring,Diamond Cut Silver Ring,Sterling silver diamond-cut ring,Nerve Jewellers,Rings,standard;silver;ring,true,Title,Default Title,SKU-008,10,shopify,120,deny,manual,600,800,true,true,active
temple-jewellery-set,Temple Jewellery Set,Traditional south Indian temple jewellery,Nerve Jewellers,Sets,standard;temple;traditional,true,Title,Default Title,SKU-009,90,shopify,25,deny,manual,3200,4000,true,true,active
oxidised-bracelet,Oxidised Silver Bracelet,Handcrafted oxidised silver bracelet,Nerve Jewellers,Bracelets,standard;oxidised;bracelet,true,Title,Default Title,SKU-010,35,shopify,70,deny,manual,750,950,true,true,active
maang-tikka-gold,Gold Maang Tikka,Delicate gold plated maang tikka,Nerve Jewellers,Hair Accessories,standard;gold;maaangtikka,true,Title,Default Title,SKU-011,15,shopify,90,deny,manual,950,1200,true,true,active
nath-bridal-nose-ring,Bridal Nath Nose Ring,Traditional bridal nath with chain,Nerve Jewellers,Nose Rings,standard;nath;bridal,true,Title,Default Title,SKU-012,20,shopify,40,deny,manual,1100,1400,true,true,active
kundan-haath-phool,Kundan Haath Phool,Elegant kundan hand harness jewellery,Nerve Jewellers,Hand Jewelry,standard;kundan;haathphool,true,Title,Default Title,SKU-013,30,shopify,35,deny,manual,2200,2800,true,true,active
silver-anklet-pair,Silver Anklet Pair,Traditional silver anklet pair with ghungroo,Nerve Jewellers,Anklets,standard;silver;anklet,true,Title,Default Title,SKU-014,45,shopify,85,deny,manual,550,700,true,true,active
jadau-earrings-set,Jadau Earrings Set,Royal jadau kundan earrings,Nerve Jewellers,Earrings,standard;jadau;kundan,true,Title,Default Title,SKU-015,25,shopify,20,deny,manual,2800,3500,true,true,active
